,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
608,72,66.0,2016-03-25,19-147,PHO,@,SAC,L (-22),1,34:04,11,21,.524,2,8,.250,2,4,.500,0,5,5,4,2,1,9,3,26,11.7,-16
610,74,68.0,2016-03-28,19-150,PHO,@,MIN,L (-5),1,43:16,10,22,.455,2,4,.500,8,9,.889,0,3,3,5,0,1,4,4,30,17.7,-4
614,78,72.0,2016-04-05,19-158,PHO,@,ATL,L (-13),1,38:40,12,25,.480,4,9,.444,6,10,.600,0,5,5,2,2,0,2,4,34,21.0,-9
615,79,73.0,2016-04-07,19-160,PHO,@,HOU,W (+9),1,37:51,4,15,.267,1,6,.167,6,6,1.000,0,0,0,4,1,1,5,4,15,4.0,+3
616,80,74.0,2016-04-09,19-162,PHO,@,NOP,W (+21),1,26:56,7,11,.636,1,3,.333,1,1,1.000,1,3,4,5,0,1,2,4,16,13.3,+17
621,3,3.0,2023-04-20,26-172,PHO,@,LAC,W (+5),1,44:31,18,29,0.621,3,7,0.429,6,7,0.857,1,5,6,3,3,2,0,2,45,39.4,3
622,4,4.0,2023-04-22,26-174,PHO,@,LAC,W (+12),1,41:27,10,21,0.476,3,6,0.5,7,8,0.875,3,6,9,7,3,0,4,1,30,26.3,5
624,6,6.0,2023-04-29,26-181,PHO,@,DEN,L (-18),1,40:06,10,19,0.526,0,1,0.0,7,8,0.875,2,2,4,8,1,2,3,1,27,23.9,-18
625,7,7.0,2023-05-01,26-183,PHO,@,DEN,L (-10),1,44:40,14,29,0.483,4,8,0.5,3,3,1.0,0,5,5,6,0,0,2,4,35,22.4,-7
628,10,10.0,2023-05-09,26-191,PHO,@,DEN,L (-16),1,40:31,8,19,0.421,4,7,0.571,8,9,0.889,0,6,6,4,0,0,2,4,28,18.5,-19
635,6,3.0,2022-04-28,25-180,PHO,@,NOP,W (+6),1,32:14,5,12,.417,1,6,.167,2,2,1.000,0,5,5,3,0,0,2,0,13,8.2,+9
638,9,6.0,2022-05-06,25-188,PHO,@,DAL,L (-9),1,40:02,6,13,.462,4,6,.667,2,4,.500,0,2,2,6,0,0,5,1,18,9.9,-12
639,10,7.0,2022-05-08,25-190,PHO,@,DAL,L (-10),1,43:19,10,22,.455,3,6,.500,12,13,.923,1,3,4,7,0,1,5,4,35,23.8,-12
641,12,9.0,2022-05-12,25-194,PHO,@,DAL,L (-27),1,39:00,6,17,.353,0,4,.000,7,7,1.000,2,6,8,3,1,1,8,4,19,6.9,-19
645,3,3.0,2021-05-27,24-209,PHO,@,LAL,L (-14),1,41:21,6,19,0.316,1,4,0.25,6,7,0.857,1,3,4,6,0,0,4,6,19,7.1,-7
646,4,4.0,2021-05-30,24-212,PHO,@,LAL,W (+8),1,39:18,5,14,0.357,1,5,0.2,6,7,0.857,2,5,7,5,1,0,5,3,17,10.0,12
648,6,6.0,2021-06-03,24-216,PHO,@,LAL,W (+13),1,45:59,15,22,0.682,8,10,0.8,9,9,1.0,0,11,11,3,0,1,3,2,47,39.9,10
651,9,9.0,2021-06-11,24-224,PHO,@,DEN,W (+14),1,40:27,11,23,0.478,2,7,0.286,4,4,1.0,1,5,6,4,1,0,4,3,28,17.1,19
652,10,10.0,2021-06-13,24-226,PHO,@,DEN,W (+7),1,41:53,11,25,0.44,2,8,0.25,10,11,0.909,2,9,11,4,1,0,3,3,34,24.2,10
655,13,13.0,2021-06-24,24-237,PHO,@,LAC,L (-14),1,40:05,5,21,0.238,1,7,0.143,4,4,1.0,1,4,5,5,1,0,4,4,15,3.1,-15
656,14,14.0,2021-06-26,24-239,PHO,@,LAC,W (+4),1,38:17,8,22,0.364,0,5,0.0,9,11,0.818,0,2,2,0,2,0,5,6,25,7.2,5
658,16,16.0,2021-06-30,24-243,PHO,@,LAC,W (+27),1,42:04,10,26,0.385,1,7,0.143,1,1,1.0,0,7,7,4,1,1,3,2,22,10.6,23
661,19,19.0,2021-07-11,24-254,PHO,@,MIL,L (-20),1,29:07,3,14,0.214,1,7,0.143,3,5,0.6,2,4,6,2,0,0,1,2,10,2.8,-13
662,20,20.0,2021-07-14,24-257,PHO,@,MIL,L (-6),1,38:30,17,28,0.607,0,3,0.0,8,9,0.889,1,0,1,2,0,1,4,5,42,25.6,0
664,22,22.0,2021-07-20,24-263,PHO,@,MIL,L (-7),1,46:15,8,22,0.364,0,7,0.0,3,3,1.0,0,3,3,5,0,0,6,4,19,3.6,-15
