Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
73,3/24/23,SAC,1,33:10:00,10.0,16.0,0.625,0.0,1.0,0.0,14.0,0.857,5.0,4.0,32.0,26.7,-13.0
74,3/25/23,PHI,1,31:39:00,9.0,18.0,0.5,2.0,4.0,0.5,9.0,1.0,5.0,2.0,29.0,20.3,8.0
75,3/27/23,UTA,1,33:31:00,7.0,19.0,0.368,2.0,6.0,0.333,8.0,1.0,5.0,3.0,24.0,18.2,10.0
76,3/29/23,MIN,1,36:21:00,8.0,18.0,0.444,1.0,4.0,0.25,15.0,0.8,5.0,4.0,29.0,22.6,12.0
78,4/2/23,OKC,1,36:57:00,8.0,14.0,0.571,1.0,5.0,0.2,5.0,1.0,10.0,4.0,22.0,18.7,5.0
79,4/4/23,SAS,1,32:53:00,9.0,21.0,0.429,2.0,10.0,0.2,8.0,0.875,3.0,2.0,27.0,19.9,5.0
80,4/6/23,DEN,1,37:28:00,3.0,12.0,0.25,1.0,5.0,0.2,8.0,1.0,8.0,3.0,15.0,10.5,10.0
1,2021-10-20,DEN,1,29:57,3,15,.200,2,7,.286,4,1.000,4,3,12,3.9,-24
2,2021-10-22,LAL,1,33:34,9,19,.474,2,6,.333,2,1.000,4,3,22,11.8,+8
3,2021-10-23,POR,1,28:11,9,19,.474,2,5,.400,2,.500,4,1,21,16.9,-15
4,2021-10-27,SAC,1,36:32,12,28,.429,2,6,.333,6,.833,8,4,31,23.8,+4
5,2021-10-30,CLE,1,35:19,9,20,.450,0,4,.000,10,.900,9,1,27,19.7,+8
6,2021-11-02,NOP,1,33:45,7,20,.350,2,8,.250,2,1.000,3,2,18,6.6,+8
7,2021-11-04,HOU,1,34:08,8,18,.444,4,8,.500,8,.875,5,3,27,22.3,+10
8,2021-11-06,ATL,1,34:06,14,21,.667,5,9,.556,7,.714,4,4,38,30.2,+3
9,2021-11-08,SAC,1,32:22,8,17,.471,2,5,.400,2,.000,6,4,18,11.2,+22
11,2021-11-12,MEM,1,25:36,7,17,.412,1,5,.200,2,1.000,7,2,17,10.9,+31
12,2021-11-14,HOU,1,31:33,9,23,.391,3,7,.429,5,1.000,6,0,26,21.2,+12
13,2021-11-15,MIN,1,34:26,7,16,.438,2,4,.500,15,.867,5,5,29,24.6,+8
14,2021-11-17,DAL,1,35:00,11,21,.524,2,4,.500,1,.000,0,1,24,14.6,+8
15,2021-11-19,DAL,1,30:34,7,20,.350,3,8,.375,2,1.000,1,2,19,5.1,-7
16,2021-11-21,DEN,1,27:54,7,12,.583,2,5,.400,1,1.000,7,1,17,17.1,+13
17,2021-11-22,SAS,1,34:15,7,17,.412,4,7,.571,6,.833,4,3,23,12.4,+1
18,2021-11-24,CLE,1,38:42,14,21,.667,2,3,.667,6,.833,3,2,35,25.4,-2
20,2021-11-27,BRK,1,31:46,9,18,.500,4,6,.667,8,1.000,4,5,30,20.1,+7
21,2021-11-30,GSW,1,15:27,4,9,.444,0,2,.000,2,1.000,1,1,10,5.6,-5
30,2021-12-21,LAL,1,31:35,8,16,.500,6,11,.545,2,1.000,7,2,24,19.2,+14
31,2021-12-23,OKC,1,35:08,12,23,.522,4,7,.571,2,1.000,7,3,30,26.0,+19
32,2021-12-25,GSW,1,40:21,5,19,.263,1,5,.200,2,1.000,3,3,13,3.9,-8
33,2021-12-27,MEM,1,37:03,10,20,.500,3,6,.500,9,.778,4,0,30,23.0,-8
34,2021-12-29,OKC,1,35:44,12,24,.500,6,12,.500,10,.800,5,1,38,31.2,+18
35,2021-12-31,BOS,1,37:31,7,26,.269,1,5,.200,7,1.000,4,2,22,10.4,-16
36,2022-01-02,CHO,1,28:57,9,19,.474,3,9,.333,3,1.000,3,4,24,13.9,+26
37,2022-01-04,NOP,1,32:04,12,24,.500,3,6,.500,6,1.000,4,4,33,23.3,+15
38,2022-01-06,LAC,1,33:28,5,22,.227,0,7,.000,2,.500,4,2,11,1.4,-6
39,2022-01-08,MIA,1,33:21,5,15,.333,3,5,.600,13,1.000,3,4,26,16.2,-22
40,2022-01-11,TOR,1,36:08,4,13,.308,2,7,.286,8,.750,3,6,16,7.3,-1
41,2022-01-14,IND,1,35:16,11,25,.440,6,13,.462,8,.875,3,2,35,23.5,+7
42,2022-01-16,DET,1,29:35,11,18,.611,1,5,.200,10,.700,4,1,30,23.6,+20
43,2022-01-17,SAS,1,34:51,18,33,.545,5,13,.385,8,.875,6,2,48,39.6,+3
44,2022-01-20,DAL,1,38:18,11,25,.440,1,8,.125,5,1.000,6,2,28,17.8,+5
45,2022-01-22,IND,1,38:52,5,23,.217,0,6,.000,1,1.000,3,4,11,0.3,+5
46,2022-01-24,UTA,1,38:08,14,35,.400,3,13,.231,3,.667,3,4,33,17.5,-3
47,2022-01-26,UTA,1,39:34,16,28,.571,2,6,.333,11,.818,4,2,43,33.0,+18
48,2022-01-28,MIN,1,37:40,10,26,.385,4,10,.400,6,.833,9,2,29,20.8,+17
50,2022-02-01,BRK,1,40:53,13,23,.565,3,8,.375,7,.857,2,2,35,25.5,+15
51,2022-02-03,ATL,1,38:26,13,27,.481,1,8,.125,7,.714,3,4,32,17.0,-6
53,2022-02-07,CHI,1,37:40,14,23,.609,5,10,.500,6,.833,5,2,38,31.0,+7
54,2022-02-08,PHI,1,37:17,11,23,.478,3,8,.375,11,.909,3,3,35,26.0,+13
55,2022-02-10,MIL,1,34:18,6,19,.316,2,8,.250,3,1.000,7,4,17,10.0,+11
56,2022-02-12,ORL,1,29:23,10,24,.417,3,9,.333,3,1.000,5,0,26,19.3,+13
