Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
70,2020-08-08,MIA,1,35:27,15,26,.577,0,7,.000,5,1.000,6,3,35,26.7,-1
71,2020-08-10,OKC,1,29:17,9,17,.529,3,7,.429,14,1.000,4,1,35,28.0,+15
72,2020-08-11,PHI,1,40:52,11,24,.458,2,4,.500,12,.917,7,0,35,29.6,+14
73,2020-08-13,DAL,1,31:33,11,20,.550,0,5,.000,5,1.000,5,3,27,21.8,+30
1,2018-10-17,DAL,1,33:27,12,19,.632,6,10,.600,6,.833,7,4,35,27.6,+22
2,2018-10-20,DEN,1,36:27,5,15,.333,1,6,.167,17,.824,7,3,25,14.6,-24
3,2018-10-22,GSW,1,38:27,11,21,.524,3,9,.333,3,1.000,6,5,28,14.8,-5
4,2018-10-24,LAL,1,29:05,8,16,.500,2,6,.333,7,.714,7,3,23,16.0,-14
8,2018-11-02,TOR,1,35:33,8,20,.400,2,7,.286,1,.000,6,1,18,10.9,-6
9,2018-11-04,MEM,1,34:59,7,17,.412,2,8,.250,10,.900,7,5,25,14.4,+3
10,2018-11-06,BRK,1,36:23,6,21,.286,2,8,.250,6,1.000,2,4,20,8.1,-6
11,2018-11-08,BOS,1,42:39,15,30,.500,4,13,.308,5,.800,9,3,38,25.6,-2
12,2018-11-10,NOP,1,34:32,4,12,.333,2,5,.400,2,1.000,7,4,12,6.8,-10
13,2018-11-12,OKC,1,37:01,7,18,.389,1,4,.250,4,1.000,6,3,19,11.2,-32
14,2018-11-14,SAS,1,37:10,5,14,.357,2,6,.333,1,1.000,12,1,13,9.8,+20
15,2018-11-17,OKC,1,39:14,5,16,.313,3,8,.375,4,.750,12,5,16,13.0,-10
16,2018-11-19,PHI,1,36:27,13,28,.464,6,15,.400,7,.714,8,6,37,23.9,0
17,2018-11-21,CHI,1,33:34,9,20,.450,1,8,.125,4,1.000,6,5,23,12.4,-8
18,2018-11-23,MIL,1,39:20,13,26,.500,1,5,.200,2,1.000,7,4,29,20.5,+14
19,2018-11-25,DET,1,37:22,14,24,.583,3,9,.333,6,1.000,5,2,37,25.7,-4
20,2018-11-27,IND,1,36:21,7,21,.333,3,9,.333,6,.500,8,3,20,10.9,-4
21,2018-11-28,LAC,1,35:06,9,21,.429,1,6,.167,4,1.000,4,3,23,12.7,-20
30,2018-12-15,MIN,1,35:59,10,16,.625,3,6,.500,6,.833,7,2,28,24.6,+2
31,2018-12-17,NYK,1,37:16,11,23,.478,2,7,.286,15,.933,2,5,38,28.4,+10
32,2018-12-19,BOS,1,37:14,9,23,.391,3,8,.375,6,.667,8,2,25,15.2,-4
33,2018-12-22,WAS,1,54:36,12,28,.429,2,12,.167,8,.875,14,5,33,25.7,-1
34,2018-12-23,BRK,1,30:03,10,23,.435,1,4,.250,4,1.000,9,2,25,15.8,-4
35,2018-12-26,ORL,1,39:52,13,24,.542,5,8,.625,5,.800,8,3,35,27.2,-3
36,2018-12-28,OKC,1,32:55,8,22,.364,2,5,.400,8,.875,10,5,25,20.5,-6
37,2018-12-29,DEN,1,36:11,11,18,.611,1,5,.200,4,1.000,8,2,27,21.9,-4
38,2018-12-31,GSW,1,32:46,6,15,.400,2,5,.400,6,1.000,6,4,20,11.1,-21
39,2019-01-02,PHI,1,35:21,10,22,.455,2,7,.286,17,.882,8,4,37,26.8,-14
40,2019-01-04,LAC,1,37:06,8,14,.571,1,2,.500,11,.545,4,4,23,13.3,-16
46,2019-01-17,TOR,1,35:11,10,21,.476,4,9,.444,9,.667,8,3,30,17.1,+2
47,2019-01-19,CHO,1,37:32,10,23,.435,2,7,.286,12,.833,11,0,32,27.8,0
48,2019-01-20,MIN,1,32:57,7,15,.467,1,6,.167,4,.750,6,5,18,8.9,-11
49,2019-01-22,MIN,1,24:12,6,11,.545,0,1,.000,2,1.000,4,3,14,8.9,-20
50,2019-01-24,POR,1,30:15,9,20,.450,2,7,.286,8,.875,3,2,27,10.8,-31
51,2019-01-25,DEN,1,30:02,9,19,.474,2,4,.500,16,.938,2,2,35,22.7,-20
52,2019-01-27,LAL,1,36:18,9,18,.500,0,1,.000,3,1.000,6,3,21,13.0,-11
53,2019-01-29,SAS,1,40:17,14,19,.737,3,6,.500,7,1.000,7,1,38,32.3,0
54,2019-02-02,ATL,1,42:44,13,27,.481,4,10,.400,3,.667,10,2,32,23.9,+5
55,2019-02-04,HOU,1,32:38,7,12,.583,0,2,.000,7,.714,5,4,19,17.4,-21
58,2019-02-10,SAC,1,35:22,9,19,.474,3,5,.600,7,.857,6,5,27,16.9,-15
59,2019-02-13,LAC,1,32:48,2,10,.200,0,3,.000,6,1.000,5,3,10,7.0,-15
60,2019-02-21,CLE,1,37:57,10,20,.500,3,9,.333,9,.778,7,4,30,14.8,-12
61,2019-02-23,ATL,1,36:06,8,23,.348,2,6,.333,8,1.000,8,3,26,18.3,-14
62,2019-02-25,MIA,1,32:49,6,16,.375,3,9,.333,5,1.000,9,5,20,13.1,+3
63,2019-03-01,NOP,1,33:33,6,17,.353,1,5,.200,14,.929,7,2,26,17.8,-12
64,2019-03-02,LAL,1,39:46,8,18,.444,0,5,.000,9,1.000,4,2,25,15.8,+13
65,2019-03-04,MIL,1,39:13,8,18,.444,2,4,.500,4,1.000,7,3,22,15.2,+15
66,2019-03-06,NYK,1,33:56,14,23,.609,6,10,.600,7,1.000,4,4,41,31.3,+17
67,2019-03-09,POR,1,30:35,7,19,.368,1,4,.250,8,1.000,5,3,23,13.4,-6
68,2019-03-10,GSW,1,40:36,13,23,.565,2,6,.333,9,1.000,11,3,37,32.4,+12
69,2019-03-13,UTA,1,35:36,9,20,.450,2,4,.500,9,.778,6,2,27,17.1,-8
70,2019-03-15,HOU,1,37:09,9,22,.409,1,7,.143,11,.909,7,1,29,18.2,-1
71,2019-03-16,NOP,1,41:09,12,26,.462,3,8,.375,18,.722,13,3,40,28.1,+3
72,2019-03-18,CHI,1,40:24,9,24,.375,1,8,.125,10,.600,7,4,25,13.3,-15
73,2019-03-21,DET,1,32:20,8,17,.471,2,5,.400,10,.800,2,3,26,16.2,-15
74,2019-03-23,SAC,1,39:02,10,27,.370,2,11,.182,10,1.000,10,0,32,23.7,-5
75,2019-03-25,UTA,1,41:06,19,34,.559,5,8,.625,17,.941,4,5,59,39.8,-13
76,2019-03-27,WAS,1,36:54,19,29,.655,3,9,.333,10,.900,4,3,50,39.0,+8
77,2019-03-30,MEM,1,42:44,19,29,.655,3,6,.500,8,.875,11,3,48,36.7,+1
78,2019-04-01,CLE,1,35:05,8,18,.444,2,9,.222,7,1.000,13,3,25,18.4,-6
79,2019-04-03,UTA,1,7:32,3,4,.750,0,1,.000,2,1.000,1,1,8,6.7,+9
2,2017-10-20,LAL,1,39:44,9,19,.474,4,8,.500,5,.600,8,2,25,18.6,-10
3,2017-10-21,LAC,1,31:47,5,14,.357,0,4,.000,4,.750,2,1,13,5.4,-21
4,2017-10-23,SAC,1,28:50,8,16,.500,2,7,.286,4,1.000,5,3,22,16.5,+8
5,2017-10-25,UTA,1,32:56,7,19,.368,2,4,.500,1,1.000,3,3,17,8.4,+5
6,2017-10-28,POR,1,34:20,11,19,.579,4,7,.571,9,.889,6,3,34,25.5,+5
7,2017-10-31,BRK,1,35:28,11,22,.500,5,8,.625,5,1.000,4,3,32,20.7,+3
8,2017-11-01,WAS,1,33:45,7,15,.467,3,7,.429,5,1.000,5,2,22,18.3,-3
9,2017-11-03,NYK,1,33:21,10,19,.526,2,7,.286,12,1.000,1,5,34,23.0,-2
10,2017-11-05,SAS,1,26:13,3,11,.273,1,5,.200,2,1.000,2,1,9,0.4,-27
11,2017-11-06,BRK,1,34:44,6,15,.400,1,4,.250,5,1.000,1,6,18,7.2,+3
12,2017-11-08,MIA,1,37:17,9,23,.391,1,6,.167,13,.846,6,3,30,21.6,-10
13,2017-11-10,ORL,1,33:39,3,10,.300,0,3,.000,3,1.000,5,3,9,5.7,-8
14,2017-11-11,MIN,1,38:39,13,22,.591,5,9,.556,5,.800,6,5,35,26.3,+16
15,2017-11-13,LAL,1,37:42,14,27,.519,4,9,.444,6,.667,3,4,36,20.7,+10
16,2017-11-16,HOU,1,30:18,7,16,.438,2,5,.400,4,.500,10,4,18,9.8,-23
17,2017-11-17,LAL,1,33:10,13,27,.481,6,14,.429,3,.333,4,4,33,16.6,+6
18,2017-11-19,CHI,1,32:01,5,15,.333,2,8,.250,3,1.000,6,1,15,10.6,-3
19,2017-11-22,MIL,1,39:38,8,24,.333,2,6,.333,5,1.000,4,5,23,11.3,-9
20,2017-11-24,NOP,1,32:48,4,13,.308,0,5,.000,5,1.000,1,1,13,1.7,-17
22,2017-11-28,CHI,1,33:10,10,23,.435,5,9,.556,10,.800,4,0,33,24.0,-5
23,2017-11-29,DET,1,27:12,7,8,.875,2,3,.667,6,1.000,0,3,22,13.2,-19
24,2017-12-02,BOS,1,39:13,16,29,.552,3,8,.375,3,1.000,5,6,38,23.8,-2
25,2017-12-04,PHI,1,38:52,17,32,.531,5,8,.625,8,.875,1,1,46,33.6,+10
26,2017-12-05,TOR,1,39:16,4,15,.267,1,5,.200,12,.833,8,4,19,16.5,+2
36,2017-12-26,MEM,1,33:58,9,21,.429,3,9,.333,12,.917,6,6,32,19.8,+10
37,2017-12-29,SAC,1,31:51,9,25,.360,3,9,.333,7,.714,3,4,26,12.7,+5
38,2017-12-31,PHI,1,39:24,8,22,.364,5,10,.500,12,.917,6,4,32,17.5,-1
39,2018-01-02,ATL,1,41:47,9,17,.529,2,3,.667,15,.933,7,1,34,26.3,+10
40,2018-01-03,DEN,1,29:40,4,13,.308,2,7,.286,8,.875,5,3,17,10.0,-20
41,2018-01-05,SAS,1,34:41,8,17,.471,3,6,.500,2,1.000,4,4,21,10.0,-16
42,2018-01-07,OKC,1,30:32,6,17,.353,5,10,.500,12,.750,4,4,26,13.1,-1
43,2018-01-12,HOU,1,37:12,9,18,.500,3,8,.375,6,1.000,9,2,27,18.3,-18
44,2018-01-14,IND,1,33:01,5,16,.313,1,6,.167,4,1.000,7,4,15,8.6,-18
45,2018-01-16,POR,1,41:05,14,29,.483,5,12,.417,10,1.000,8,1,43,34.0,-6
46,2018-01-19,DEN,1,34:40,11,23,.478,4,11,.364,4,1.000,5,2,30,21.2,+7
47,2018-01-22,MIL,1,36:07,2,14,.143,1,6,.167,9,1.000,8,4,14,8.2,-7
48,2018-01-24,IND,1,25:58,5,16,.313,0,4,.000,9,1.000,4,1,19,11.8,-33
49,2018-01-26,NYK,1,25:10,4,12,.333,2,3,.667,2,1.000,3,2,12,6.1,-24
50,2018-01-28,HOU,1,41:06,12,23,.522,5,9,.556,2,1.000,10,3,31,23.4,-14
52,2018-01-31,DAL,1,32:23,5,14,.357,2,7,.286,3,1.000,4,4,15,6.0,+7
53,2018-02-02,UTA,1,32:27,7,24,.292,0,7,.000,4,1.000,6,4,18,6.3,-30
59,2018-02-14,UTA,1,36:20,8,20,.400,6,14,.429,9,.667,3,2,28,16.8,-10
60,2018-02-23,LAC,1,37:26,7,20,.350,2,9,.222,13,.846,4,3,27,13.3,-3
61,2018-02-24,POR,1,39:20,11,28,.393,5,10,.500,3,1.000,3,5,30,15.8,-11
62,2018-02-26,NOP,1,40:41,14,28,.500,3,10,.300,11,.818,7,4,40,29.5,-3
63,2018-02-28,MEM,1,39:01,12,29,.414,1,6,.167,10,.900,1,4,34,20.8,+10
64,2018-03-02,OKC,1,38:31,16,28,.571,6,10,.600,1,1.000,8,2,39,28.5,+1
65,2018-03-04,ATL,1,33:41,8,18,.444,3,6,.500,3,.333,3,3,20,7.0,0
66,2018-03-05,MIA,1,33:18,12,22,.545,4,9,.444,6,.500,5,4,31,18.7,-17
67,2018-03-08,OKC,1,35:20,10,22,.455,4,9,.444,6,1.000,1,4,30,17.5,-19
69,2018-03-13,CLE,1,33:59,7,16,.438,0,3,.000,3,1.000,6,3,17,8.9,-27
70,2018-03-15,UTA,1,34:15,3,18,.167,1,4,.250,5,1.000,2,3,12,-1.7,-15
1,2016-10-26,SAC,1,24:33,8,12,.667,0,3,.000,5,.400,3,5,18,8.3,-5
2,2016-10-28,OKC,1,43:53,8,25,.320,2,8,.250,5,.600,1,3,21,7.0,-1
5,2016-11-02,POR,1,38:31,6,15,.400,1,2,.500,4,.500,2,3,15,7.2,+8
6,2016-11-04,NOP,1,41:27,13,22,.591,3,7,.429,9,1.000,3,6,38,22.7,+2
7,2016-11-06,LAL,1,45:15,13,29,.448,3,7,.429,10,1.000,7,3,39,26.9,-4
8,2016-11-08,POR,1,31:10,8,18,.444,2,6,.333,5,1.000,0,3,23,11.4,-9
9,2016-11-09,DET,1,33:29,3,9,.333,1,5,.200,5,.800,4,2,11,7.5,+10
10,2016-11-12,BRK,1,32:01,5,18,.278,0,4,.000,1,1.000,3,2,11,4.9,-12
11,2016-11-13,GSW,1,32:15,6,18,.333,1,5,.200,6,1.000,3,1,19,13.8,-18
12,2016-11-16,DEN,1,37:28,10,18,.556,2,3,.667,3,.667,2,4,24,13.4,-16
13,2016-11-18,IND,1,22:51,4,11,.364,1,5,.200,4,1.000,3,3,13,8.1,+11
14,2016-11-19,PHI,1,17:38,4,13,.308,0,2,.000,3,.667,0,0,10,-0.6,-18
16,2016-11-23,ORL,1,33:57,4,10,.400,1,3,.333,2,1.000,1,4,11,7.3,+3
17,2016-11-25,MIN,1,33:03,4,10,.400,1,3,.333,2,1.000,2,3,11,5.1,-12
18,2016-11-27,DEN,1,35:43,11,27,.407,4,10,.400,5,.800,4,5,30,16.8,+14
19,2016-11-30,ATL,1,32:32,5,13,.385,1,2,.500,6,.333,4,2,13,6.6,+2
20,2016-12-03,GSW,1,32:36,8,17,.471,1,5,.200,5,.800,5,4,21,12.5,-5
21,2016-12-06,UTA,1,26:08,9,13,.692,1,3,.333,3,.667,1,1,21,13.0,-25
22,2016-12-07,IND,1,30:39,4,13,.308,2,6,.333,4,.750,5,5,13,4.9,-3
23,2016-12-09,LAL,1,28:09,6,17,.353,1,6,.167,2,1.000,4,6,15,5.2,+11
24,2016-12-11,NOP,1,38:11,6,15,.400,2,8,.250,3,.667,5,1,16,9.1,+7
25,2016-12-13,NYK,1,35:45,3,16,.188,1,5,.200,5,1.000,0,2,12,1.2,+7
26,2016-12-15,SAS,1,36:08,6,19,.316,2,6,.333,4,.750,5,4,17,7.2,-18
27,2016-12-17,OKC,1,33:23,11,22,.500,3,5,.600,7,.857,5,3,31,18.2,-13
28,2016-12-19,MIN,1,28:33,6,15,.400,1,5,.200,6,.833,3,2,18,10.5,-3
29,2016-12-21,HOU,1,35:52,11,25,.440,2,4,.500,5,.800,7,3,28,19.8,-5
30,2016-12-23,PHI,1,38:16,8,18,.444,4,9,.444,3,1.000,6,3,23,16.4,+12
31,2016-12-26,HOU,1,27:32,6,18,.333,1,5,.200,3,1.000,4,6,16,7.2,-17
32,2016-12-28,SAS,1,28:57,2,13,.154,0,2,.000,4,1.000,4,4,8,0.8,-15
33,2016-12-29,TOR,1,37:55,6,19,.316,1,4,.250,7,.857,5,3,19,11.5,+12
34,2016-12-31,UTA,1,35:32,9,19,.474,1,3,.333,1,1.000,1,2,20,13.1,-6
35,2017-01-02,LAC,1,33:10,4,15,.267,1,5,.200,6,.667,2,5,13,2.0,+5
36,2017-01-03,MIA,1,35:12,9,19,.474,3,6,.500,7,.857,4,3,27,14.5,+9
37,2017-01-05,DAL,1,35:50,9,17,.529,3,3,1.000,1,1.000,0,2,22,10.2,+5
38,2017-01-08,CLE,1,45:06,12,24,.500,2,7,.286,4,.500,4,2,28,19.9,+2
39,2017-01-12,DAL,1,37:13,14,20,.700,6,7,.857,7,.714,3,4,39,24.6,-3
40,2017-01-14,SAS,1,37:03,12,22,.545,3,5,.600,12,1.000,2,4,39,26.6,+10
41,2017-01-16,UTA,1,46:02,10,22,.455,1,5,.200,4,1.000,1,3,25,10.1,-4
42,2017-01-19,CLE,1,36:59,4,13,.308,0,4,.000,14,.929,8,3,21,16.0,-8
43,2017-01-21,NYK,1,37:12,10,21,.476,3,4,.750,3,1.000,2,4,26,12.5,-1
44,2017-01-22,TOR,1,37:29,6,14,.429,5,8,.625,4,.750,2,5,20,12.8,+12
45,2017-01-24,MIN,1,43:17,9,23,.391,4,7,.571,4,1.000,4,3,26,11.7,-2
46,2017-01-26,DEN,1,33:10,9,17,.529,1,6,.167,6,.833,6,2,24,14.7,-19
47,2017-01-28,DEN,1,34:52,8,16,.500,0,2,.000,11,.636,2,5,23,13.1,+19
48,2017-01-30,MEM,1,38:31,6,20,.300,0,3,.000,12,.833,2,1,22,11.2,-11
49,2017-02-01,LAC,1,34:47,7,19,.368,1,3,.333,5,1.000,6,3,20,14.2,-10
50,2017-02-03,SAC,1,40:51,11,24,.458,4,8,.500,10,.700,2,4,33,21.5,+7
51,2017-02-04,MIL,1,37:42,9,19,.474,5,8,.625,8,1.000,4,5,31,18.4,-16
52,2017-02-06,NOP,1,36:53,5,20,.250,1,8,.125,4,.750,5,4,14,3.5,-7
53,2017-02-08,MEM,1,31:38,6,13,.462,0,3,.000,10,.800,3,3,20,10.7,-22
54,2017-02-10,CHI,1,32:59,10,19,.526,2,4,.500,6,.833,4,1,27,21.4,+19
55,2017-02-11,HOU,1,26:01,6,18,.333,1,3,.333,6,.833,2,3,18,5.9,-29
56,2017-02-13,NOP,1,36:14,9,19,.474,2,6,.333,1,1.000,3,4,21,8.8,+2
57,2017-02-15,LAL,1,29:54,9,14,.643,4,7,.571,2,.500,1,3,23,15.2,+29
58,2017-02-24,CHI,1,40:41,10,21,.476,2,4,.500,8,.625,2,4,27,13.8,-11
59,2017-02-26,MIL,1,34:46,5,11,.455,2,3,.667,4,.750,3,3,15,9.0,+6
60,2017-02-28,MEM,1,35:31,3,11,.273,2,5,.400,1,1.000,1,2,9,2.0,-11
61,2017-03-02,CHO,1,30:09,5,12,.417,1,4,.250,5,.800,9,3,15,10.1,+7
62,2017-03-03,OKC,1,33:29,5,13,.385,2,7,.286,6,.833,3,2,17,7.6,-2
63,2017-03-05,BOS,1,27:23,5,10,.500,1,3,.333,6,.833,0,5,16,10.1,+8
64,2017-03-07,WAS,1,37:36,8,18,.444,4,7,.571,6,.833,6,2,25,14.2,+5
65,2017-03-09,LAL,1,37:59,10,21,.476,1,4,.250,2,1.000,3,2,23,12.8,-3
66,2017-03-11,DAL,1,34:30,12,20,.600,2,5,.400,10,1.000,2,2,36,28.3,+15
68,2017-03-15,SAC,1,39:36,6,26,.231,3,9,.333,4,1.000,2,2,19,4.1,-7
69,2017-03-17,ORL,1,30:20,3,13,.231,0,2,.000,4,1.000,3,2,10,3.6,+6
71,2017-03-21,MIA,1,34:08,4,16,.250,0,4,.000,4,.750,5,3,11,-0.7,-29
72,2017-03-23,BRK,1,39:59,9,26,.346,3,9,.333,8,.875,0,6,28,11.2,-21
73,2017-03-24,BOS,1,44:58,21,40,.525,4,11,.364,26,.923,6,3,70,54.5,-6
74,2017-03-26,CHO,1,35:05,7,17,.412,2,5,.400,7,1.000,5,3,23,14.5,-32
76,2017-03-30,LAC,1,37:18,13,22,.591,4,7,.571,6,.500,9,6,33,24.1,-2
77,2017-04-01,POR,1,42:05,10,25,.400,0,4,.000,14,.786,7,2,31,17.7,-6
78,2017-04-02,HOU,1,39:29,7,22,.318,1,6,.167,12,1.000,9,4,27,13.6,-3
79,2017-04-05,GSW,1,41:44,7,24,.292,2,7,.286,7,.714,5,3,21,10.8,-10
80,2017-04-07,OKC,1,37:40,13,29,.448,5,9,.556,8,.750,4,3,37,24.2,+20
81,2017-04-09,DAL,1,22:44,8,15,.533,1,4,.250,5,.800,3,1,21,13.6,+13
1,2015-10-28,DAL,0,21:20,6,7,.857,1,2,.500,3,.333,0,2,14,11.8,+4
13,2015-11-22,NOP,0,16:25,5,8,.625,1,1,1.000,4,1.000,0,1,15,12.6,-3
16,2015-11-27,GSW,0,24:43,2,5,.400,0,1,.000,4,.500,0,3,6,1.3,-2
19,2015-12-02,DET,0,22:50,5,6,.833,3,3,1.000,5,1.000,1,5,18,14.8,+4
25,2015-12-13,MIN,0,14:24,1,5,.200,0,1,.000,2,1.000,1,3,4,0.1,+1
29,2015-12-20,MIL,0,18:01,1,5,.200,0,3,.000,5,1.000,2,1,7,7.5,-1
32,2015-12-26,PHI,0,19:46,6,11,.545,3,4,.750,7,.571,0,4,19,11.6,+13
34,2015-12-30,SAS,1,23:55,4,10,.400,0,1,.000,2,.500,0,2,9,1.3,-9
35,2015-12-31,OKC,1,39:01,4,11,.364,0,1,.000,4,1.000,5,3,12,4.5,-1
36,2016-01-02,SAC,1,41:42,6,10,.600,2,5,.400,8,.875,3,2,21,20.6,-14
37,2016-01-03,LAL,1,22:07,5,13,.385,0,3,.000,1,.000,1,3,10,2.2,-30
39,2016-01-08,MIA,1,37:20,6,17,.353,1,7,.143,4,.750,2,5,16,7.1,-2
40,2016-01-12,IND,1,29:03,8,12,.667,1,2,.500,3,.667,2,5,19,10.5,-10
41,2016-01-15,BOS,1,24:27,2,9,.222,0,4,.000,6,.833,0,3,9,0.8,+4
43,2016-01-19,IND,1,39:31,9,16,.563,6,11,.545,8,1.000,2,3,32,20.6,-7
44,2016-01-21,SAS,1,43:31,8,16,.500,2,6,.333,7,.857,5,4,24,16.8,-23
46,2016-01-26,PHI,1,36:15,5,15,.333,1,3,.333,2,.500,7,5,12,7.2,-6
47,2016-01-27,CLE,1,33:31,4,9,.444,1,4,.250,8,.875,5,4,16,12.5,-25
48,2016-01-29,NYK,1,26:35,8,15,.533,3,6,.500,3,.667,3,5,21,12.4,-16
49,2016-01-31,DAL,1,41:13,6,15,.400,2,6,.333,5,1.000,4,6,19,10.1,-6
50,2016-02-02,TOR,1,37:29,9,19,.474,6,14,.429,4,.750,0,4,27,14.8,+3
51,2016-02-04,HOU,1,41:02,3,12,.250,2,5,.400,10,.900,4,2,17,8.3,-5
52,2016-02-06,UTA,1,33:52,6,14,.429,2,5,.400,4,1.000,1,5,18,10.2,-12
53,2016-02-08,OKC,1,28:54,1,8,.125,0,3,.000,4,1.000,4,6,6,-0.2,-10
54,2016-02-10,GSW,1,41:35,5,11,.455,1,4,.250,6,.667,10,2,15,11.8,-7
55,2016-02-19,HOU,1,30:54,3,11,.273,2,7,.286,2,1.000,1,1,10,4.5,-37
56,2016-02-21,SAS,1,24:01,3,9,.333,1,2,.500,3,1.000,6,4,10,8.1,-1
58,2016-02-25,BRK,1,30:07,3,12,.250,1,3,.333,6,.833,2,4,12,4.5,-18
59,2016-02-27,MEM,1,37:50,6,16,.375,2,9,.222,2,.500,2,6,15,4.8,+17
60,2016-03-01,CHO,1,34:28,4,16,.250,1,4,.250,5,.800,1,3,13,2.5,-39
61,2016-03-03,MIA,1,39:23,11,21,.524,3,7,.429,9,1.000,4,4,34,21.8,-8
63,2016-03-06,MEM,1,42:49,8,17,.471,4,11,.364,7,1.000,9,2,27,23.1,+9
64,2016-03-09,NYK,1,38:56,14,28,.500,3,8,.375,2,.500,1,2,32,15.8,-25
65,2016-03-10,DEN,1,44:05,12,24,.500,1,5,.200,11,.909,5,3,35,22.5,-16
66,2016-03-12,GSW,1,37:23,7,19,.368,0,5,.000,5,.800,11,5,18,13.5,-9
67,2016-03-14,MIN,1,42:31,6,14,.429,1,4,.250,3,1.000,6,5,16,5.7,+16
69,2016-03-18,LAL,1,35:50,5,18,.278,1,5,.200,10,1.000,7,4,21,14.6,+9
70,2016-03-21,MEM,1,32:51,5,13,.385,2,8,.250,8,.750,2,5,18,9.1,-21
71,2016-03-23,LAL,1,41:05,12,22,.545,1,4,.250,4,.750,7,4,28,20.9,+22
72,2016-03-25,SAC,1,34:04,11,21,.524,2,8,.250,4,.500,4,3,26,11.7,-16
73,2016-03-26,BOS,1,33:34,8,20,.400,1,4,.250,4,1.000,4,4,21,12.0,+9
74,2016-03-28,MIN,1,43:16,10,22,.455,2,4,.500,9,.889,5,4,30,17.7,-4
76,2016-04-01,WAS,1,34:39,6,22,.273,1,5,.200,2,.500,0,3,14,-1.3,-5
77,2016-04-03,UTA,1,40:37,5,15,.333,2,5,.400,2,1.000,7,3,14,8.5,-11
78,2016-04-05,ATL,1,38:40,12,25,.480,4,9,.444,10,.600,2,4,34,21.0,-9
79,2016-04-07,HOU,1,37:51,4,15,.267,1,6,.167,6,1.000,4,4,15,4.0,+3
80,2016-04-09,NOP,1,26:56,7,11,.636,1,3,.333,1,1.000,5,4,16,13.3,+17
81,2016-04-11,SAC,1,32:54,8,20,.400,0,5,.000,6,1.000,4,5,22,11.3,+4
82,2016-04-13,LAC,1,26:42,4,14,.286,2,5,.400,2,1.000,2,2,12,1.7,+13
1,2023-04-16,LAC,1,43:20,10,19,0.526,0,3,0.0,8,0.75,3,3,26,18.6,-6
2,2023-04-18,LAC,1,44:48,14,22,0.636,4,7,0.571,6,1.0,9,4,38,31.2,15
3,2023-04-20,LAC,1,44:31,18,29,0.621,3,7,0.429,7,0.857,3,2,45,39.4,3
4,2023-04-22,LAC,1,41:27,10,21,0.476,3,6,0.5,8,0.875,7,1,30,26.3,5
5,2023-04-25,LAC,1,41:39,19,27,0.704,4,7,0.571,6,0.833,10,4,47,42.9,11
6,2023-04-29,DEN,1,40:06,10,19,0.526,0,1,0.0,8,0.875,8,1,27,23.9,-18
7,2023-05-01,DEN,1,44:40,14,29,0.483,4,8,0.5,3,1.0,6,4,35,22.4,-7
8,2023-05-05,DEN,1,41:37,20,25,0.8,5,8,0.625,2,1.0,9,5,47,44.3,7
9,2023-05-07,DEN,1,40:29,14,18,0.778,3,4,0.75,6,0.833,12,5,36,34.0,-1
10,2023-05-09,DEN,1,40:31,8,19,0.421,4,7,0.571,9,0.889,4,4,28,18.5,-19
11,2023-05-11,DEN,1,35:32,4,13,0.308,1,3,0.333,4,0.75,8,4,12,8.1,-27
1,2022-04-17,NOP,1,40:37,8,19,.421,4,8,.500,6,.833,8,2,25,20.5,+7
6,2022-04-28,NOP,1,32:14,5,12,.417,1,6,.167,2,1.000,3,0,13,8.2,+9
7,2022-05-02,DAL,1,38:13,7,20,.350,1,5,.200,8,1.000,8,1,23,20.6,+6
8,2022-05-04,DAL,1,35:32,11,19,.579,5,8,.625,3,1.000,4,4,30,22.6,+21
9,2022-05-06,DAL,1,40:02,6,13,.462,4,6,.667,4,.500,6,1,18,9.9,-12
10,2022-05-08,DAL,1,43:19,10,22,.455,3,6,.500,13,.923,7,4,35,23.8,-12
11,2022-05-10,DAL,1,35:12,11,20,.550,3,7,.429,4,.750,2,3,28,20.7,+25
12,2022-05-12,DAL,1,39:00,6,17,.353,0,4,.000,7,1.000,3,4,19,6.9,-19
13,2022-05-15,DAL,1,36:59,3,14,.214,0,4,.000,6,.833,2,3,11,0.5,-41
1,2021-05-23,LAL,1,45:11,13,26,0.5,3,7,0.429,6,0.833,8,4,34,22.1,9
2,2021-05-25,LAL,1,40:07,7,17,0.412,0,3,0.0,17,1.0,3,3,31,19.1,-16
3,2021-05-27,LAL,1,41:21,6,19,0.316,1,4,0.25,7,0.857,6,6,19,7.1,-7
4,2021-05-30,LAL,1,39:18,5,14,0.357,1,5,0.2,7,0.857,5,3,17,10.0,12
5,2021-06-01,LAL,1,33:09,13,23,0.565,2,6,0.333,2,1.0,5,3,30,23.5,22
6,2021-06-03,LAL,1,45:59,15,22,0.682,8,10,0.8,9,1.0,3,2,47,39.9,10
7,2021-06-07,DEN,1,38:22,8,12,0.667,1,4,0.25,6,0.667,8,3,21,16.6,12
8,2021-06-09,DEN,1,33:04,6,14,0.429,3,7,0.429,3,1.0,2,1,18,13.6,16
9,2021-06-11,DEN,1,40:27,11,23,0.478,2,7,0.286,4,1.0,4,3,28,17.1,19
