Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-05-23,24-205,PHO,,LAL,W (+9),1,45:11,13,26,.500,3,7,.429,5,6,.833,1,6,7,8,1,0,6,4,34,22.1,+9
2,2,2021-05-25,24-207,PHO,,LAL,L (-7),1,40:07,7,17,.412,0,3,.000,17,17,1.000,0,1,1,3,0,0,4,3,31,19.1,-16
3,3,2021-05-27,24-209,PHO,@,LAL,L (-14),1,41:21,6,19,.316,1,4,.250,6,7,.857,1,3,4,6,0,0,4,6,19,7.1,-7
4,4,2021-05-30,24-212,PHO,@,LAL,W (+8),1,39:18,5,14,.357,1,5,.200,6,7,.857,2,5,7,5,1,0,5,3,17,10.0,+12
5,5,2021-06-01,24-214,PHO,,LAL,W (+30),1,33:09,13,23,.565,2,6,.333,2,2,1.000,0,7,7,5,1,0,1,3,30,23.5,+22
6,6,2021-06-03,24-216,PHO,@,LAL,W (+13),1,45:59,15,22,.682,8,10,.800,9,9,1.000,0,11,11,3,0,1,3,2,47,39.9,+10
7,7,2021-06-07,24-220,PHO,,DEN,W (+17),1,38:22,8,12,.667,1,4,.250,4,6,.667,0,4,4,8,1,0,5,3,21,16.6,+12
8,8,2021-06-09,24-222,PHO,,DEN,W (+25),1,33:04,6,14,.429,3,7,.429,3,3,1.000,0,10,10,2,1,0,2,1,18,13.6,+16
9,9,2021-06-11,24-224,PHO,@,DEN,W (+14),1,40:27,11,23,.478,2,7,.286,4,4,1.000,1,5,6,4,1,0,4,3,28,17.1,+19
10,10,2021-06-13,24-226,PHO,@,DEN,W (+7),1,41:53,11,25,.440,2,8,.250,10,11,.909,2,9,11,4,1,0,3,3,34,24.2,+10
11,11,2021-06-20,24-233,PHO,,LAC,W (+6),1,43:56,15,29,.517,3,7,.429,7,7,1.000,1,12,13,11,0,0,2,3,40,34.5,+6
12,12,2021-06-22,24-235,PHO,,LAC,W (+1),1,40:52,5,16,.313,1,3,.333,9,9,1.000,0,4,4,5,0,0,8,5,20,5.5,+4
13,13,2021-06-24,24-237,PHO,@,LAC,L (-14),1,40:05,5,21,.238,1,7,.143,4,4,1.000,1,4,5,5,1,0,4,4,15,3.1,-15
14,14,2021-06-26,24-239,PHO,@,LAC,W (+4),1,38:17,8,22,.364,0,5,.000,9,11,.818,0,2,2,0,2,0,5,6,25,7.2,+5
15,15,2021-06-28,24-241,PHO,,LAC,L (-14),1,43:04,9,22,.409,4,6,.667,9,11,.818,0,4,4,3,2,0,3,2,31,19.9,-10
16,16,2021-06-30,24-243,PHO,@,LAC,W (+27),1,42:04,10,26,.385,1,7,.143,1,1,1.000,0,7,7,4,1,1,3,2,22,10.6,+23
17,17,2021-07-06,24-249,PHO,,MIL,W (+13),1,41:53,8,21,.381,1,8,.125,10,10,1.000,0,2,2,6,3,0,3,3,27,19.1,+18
18,18,2021-07-08,24-251,PHO,,MIL,W (+10),1,44:05,12,25,.480,7,12,.583,0,0,,2,3,5,6,0,0,3,4,31,20.2,+10
19,19,2021-07-11,24-254,PHO,@,MIL,L (-20),1,29:07,3,14,.214,1,7,.143,3,5,.600,2,4,6,2,0,0,1,2,10,2.8,-13
20,20,2021-07-14,24-257,PHO,@,MIL,L (-6),1,38:30,17,28,.607,0,3,.000,8,9,.889,1,0,1,2,0,1,4,5,42,25.6,0
21,21,2021-07-17,24-260,PHO,,MIL,L (-4),1,41:32,17,33,.515,2,4,.500,4,5,.800,1,3,4,3,2,1,2,5,40,25.7,+12
22,22,2021-07-20,24-263,PHO,@,MIL,L (-7),1,46:15,8,22,.364,0,7,.000,3,3,1.000,0,3,3,5,0,0,6,4,19,3.6,-15
